Rank_year,Rank_yearPrev,Company,Notes,Country,ArmsRevenue_year,ArmsRevenue_yearPrev,TotalRevenue_year,ArmsRevenue_pctTotRevenue_year,ArmsRevenue_yearPrev_constant2022Prices,Year
47,49,Hanwha Aerospace,South Korea,2810,2730,4510,0.623059866962306,2775.7117673614453,2678.9335678136304,2020
48,48,General Atomics,United States,2760,2880,. .,. .,3122.345979381326,3298.291567493929,2020
49,51,Rafael,Israel,2690,2670,2748,0.9788937409024745,2923.4719888226705,2988.643425190114,2020
50,53,CEA,France,2520,2230,5756,0.43780403057678946,2500.7153579439782,2263.777098584631,2020
51,52,Kawasaki Heavy Industries,Japan,2440,2360,13943,0.17499820698558416,2018.144419965663,1992.8365596021924,2020
52,56,Oshkosh Corp.,United States,2260,2030,6857,0.3295901997958291,2556.703591812245,2324.837459032179,2020
53,54,ASELSAN,Türkiye,2200,2170,2293,0.9594417793283908,1931.7662132020212,1731.1909694355923,2020
54,58,TransDigm Group,United States,2190,1930,5103,0.42915931804820695,2477.513657552574,2210.313446271973,2020
55,50,Bechtel Corp.,United States,2170,2670,17600,0.12329545454545454,2454.8879620498105,3057.7911406974968,2020
56,55,Fincantieri,Italy,2050,2130,5917,0.34645935440256886,2095.5115104166616,2213.695639374567,2020
57,57,ThyssenKrupp,Germany,2010,2020,40400,0.049752475247524755,2074.6922250052585,2133.558457154879,2020
58,64,Jacobs Engineering Group,United States,1990,1680,13567,0.14667944276553402,2251.256702524942,1924.0034143714586,2020
59,62,ManTech International Corp.,United States,1940,1710,2518,0.7704527402700556,2194.6924637680336,1958.3606181995203,2020
60,66,Sierra Nevada Corp.,United States,1920,1590,2383,0.8057070919009651,2172.06676826527,1820.9318028872733,2020
61,59,Indian Ordnance Factories,India,1900,1900,1935,0.9819121447028424,2011.6281239402847,2040.5752875492512,2020
62,63,ST Engineering,Singapore,1890,1690,5221,0.3619996169316223,2041.334020022078,1802.1805756586166,2020
63,67,Parker-Hannifin Corp.,United States,1840,1510,14348,0.12824086980763869,2081.5639862542175,1729.3125926791088,2020
64,68,Korea Aerospace Industries,South Korea,1800,1500,2384,0.7550335570469798,1778.0360075624917,1471.94152077672,2020
65,69,Serco Group,United Kingdom,1730,1490,5449,0.31748944760506514,1861.1075231593268,1627.081303789557,2020
66,60,Fluor Corp.,United States,1700,1810,15669,0.1084944795455996,1923.1841177348747,2072.884630959726,2020
67,74,NCSIST,Taiwan,1690,1390,1799,0.9394107837687604,1750.4385275664824,1508.930432617457,2020
68,71,BWX Technologies,United States,1670,1480,2124,0.7862523540489642,1889.2455744807298,1694.955388851047,2020
69,61,Cobham,United Kingdom,1650,1800,2544,0.6485849056603774,1775.0447475219014,1965.601575047787,2020
70,79,DynCorp International,United States,1570,1280,. .,. .,1776.1170969669138,1465.9073633306352,2020
71,91,Melrose Industries,United Kingdom,1470,1030,9901,0.14846985153014847,1581.403502337694,1124.7609012773448,2020
72,115,CNNC,China,1470,760,32653,0.04501883441031452,1555.7644949515106,824.517366719584,2020
73,72,Bharat Electronics,India,1460,1470,1868,0.7815845824411135,1545.777400501482,1578.7608803670523,2020
74,70,Krauss-Maffei Wegmann,Germany,1410,1490,1482,0.951417004048583,1455.3811130633903,1573.7634164162225,2020
75,75,Parsons Corp.,United States,1380,1350,3919,0.35213064557285023,1561.172989690663,1546.0741722627793,2020
76,65,PGZ,Poland,1370,1660,1527,0.8971840209561232,1432.9292354314873,1765.8308205759654,2020
77,80,LIG Nex1,South Korea,1360,1250,1357,1.002210759027266,1343.4049834916602,1226.6179339806,2020
78,77,Vectrus,United States,1330,1320,1396,0.9527220630372493,1504.608750933755,1511.7169684347175,2020
79,81,Aerojet Rocketdyne,United States,1330,1230,2073,0.6415822479498312,1504.608750933755,1408.6453569505322,2020
80,89,Fujitsu,Japan,1320,1050,33625,0.039256505576208175,1091.78304686667,886.643384568772,2020
81,78,UkrOboronProm,Ukraine,1320,1310,1388,0.9510086455331412,1438.9505232104154,1405.2266066648233,2020
82,84,Hensoldt,Germany,1270,1150,1376,0.9229651162790697,1310.8751869436212,1214.6496166970844,2020
83,87,Curtiss-Wright Corp.,United States,1260,1080,2391,0.5269761606022585,1425.4188166740837,1236.8593378102235,2020
